removed_fraction,removed_nodes,gcc_fraction,gcc_size,num_components,avg_shortest_path_gcc
0.0,0,1.0,200,1,3.1230150753768844
0.04,8,0.96,192,1,3.1644306282722514
0.08,16,0.92,184,1,3.1981468282252314
0.12,24,0.88,176,1,3.239155844155844
0.16,32,0.835,167,2,3.3229204242118175
0.2,40,0.795,159,2,3.3439216622880346
0.24,48,0.755,151,2,3.3975275938189844
0.28,56,0.715,143,2,3.4891165172855314
0.32,64,0.675,135,2,3.5619679380873412
0.36,72,0.635,127,2,3.7736532933383327
0.4,80,0.585,117,3,3.912172119068671
0.44,88,0.54,108,4,4.117514710972655
0.48,96,0.5,100,4,4.1749494949494945
0.52,104,0.46,92,4,4.3741041567128525
0.56,112,0.405,81,7,4.341049382716049
0.6,120,0.37,74,7,4.652350981118104
0.64,128,0.325,65,8,5.149038461538462
0.68,136,0.27,54,11,5.357791754018169
0.72,144,0.22,44,13,5.946088794926005
0.76,152,0.14,28,15,4.743386243386244
0.8,160,0.035,7,21,2.380952380952381
0.84,168,0.03,6,19,2.3333333333333335
0.88,176,0.03,6,18,2.3333333333333335
0.92,184,0.015,3,13,1.3333333333333333
0.96,192,0.01,2,7,1.0
1.0,200,0.0,0,0,0.0
